id,currency,money_out,money_in
1001,GBP,,15
1002,GBP,-13.56,
1003,GBP,,10
1004,GBP,-10.15,
1005,GBP,,170
1006,GBP,-170,
1007,GBP,,20
1008,GBP,-3.98,
1009,GBP,-2.98,
1010,GBP,-0.5,
1011,GBP,-5.98,
1012,GBP,,15
1013,GBP,,20
1014,GBP,-18,
1015,GBP,,5
1016,GBP,,3
1017,GBP,0,
1018,GBP,-20,
1019,GBP,-1.49,
1020,GBP,-0.5,
1021,GBP,-4.58,
1022,GBP,-4,
1023,GBP,,20
1024,GBP,-3.98,
1025,GBP,-5,
1026,GBP,-4.29,
1027,GBP,-7.99,
1028,GBP,,10
1029,GBP,-7,
1030,GBP,-4.2,
1031,GBP,,6.5
1032,GBP,-3.99,
1033,GBP,,350
1034,GBP,-150,
1035,GBP,-150,
1036,GBP,-2.58,
1037,GBP,-15,
1038,GBP,-15,
1039,GBP,-11.77,
1040,GBP,-2.67,
1041,GBP,,30
1042,GBP,-15,
1043,GBP,0,
1044,GBP,-7,
1045,GBP,-5,
1046,GBP,-1.8,
1047,GBP,,15
1048,GBP,-10.54,
1049,GBP,-6.5,
1050,GBP,,5
1051,GBP,-10.48,
1052,GBP,,20
1053,GBP,-9.57,
1054,GBP,,10
1055,GBP,-10,
1056,GBP,,15
1057,GBP,-10.62,
1058,GBP,-6,
1059,GBP,-1.99,
1060,GBP,-3.99,
1061,GBP,,15
1062,GBP,,2.61
1063,GBP,-15,
1064,GBP,,5
1065,GBP,-4,
1066,GBP,-3.58,
1067,GBP,,300
1068,GBP,-300,
1069,GBP,,5
1070,GBP,-4.65,
1071,GBP,,25
1072,GBP,,30
1073,GBP,-3.59,
1074,GBP,-21.99,
1075,GBP,-13.99,
1076,GBP,-2.8,
1077,GBP,-0.2,
1078,GBP,-9.99,
1079,GBP,,10
1080,GBP,-12.12,
1081,GBP,,70
1082,GBP,-70,
1083,GBP,-0.9,
1084,GBP,,20
1085,GBP,-5.2,
1086,GBP,-11,
1087,GBP,,50
1088,GBP,,15
1089,GBP,-4.29,
1090,GBP,-0.25,
1091,GBP,-4.9,
1092,GBP,-16,
1093,GBP,-2.5,
1094,GBP,-8.4,
1095,GBP,-4.6,
1096,GBP,-3.99,
1097,GBP,-8.11,
1098,GBP,-4.65,
1099,GBP,,31
1100,GBP,-25,
1101,GBP,-2.58,
1102,GBP,-5.79,
1103,GBP,-10,
1104,GBP,,476.56
1105,GBP,-100,
1106,GBP,-150,
1107,GBP,-170,
1108,GBP,-30,
1109,GBP,-20,
1110,GBP,,20
1111,GBP,,30
1112,GBP,-30,
1113,GBP,-2.98,
1114,GBP,,60
1115,GBP,-60,
1116,GBP,,30
1117,GBP,-31,
1118,GBP,-10,
1119,GBP,,15
1120,GBP,-15,
1121,GBP,,15
1122,GBP,,5
1123,GBP,-10,
1124,GBP,-5.15,
1125,GBP,,30
1126,GBP,0,
1127,GBP,-32.96,
1128,GBP,,10
1129,GBP,-14,
1130,GBP,-10.46,
1131,GBP,,10
1132,GBP,,15
1133,GBP,-1.5,
1134,GBP,-15.98,
1135,GBP,,5
1136,GBP,,30
1137,GBP,-2,
1138,GBP,-7,
1139,GBP,-1.99,
1140,GBP,-5,
1141,GBP,-2.98,
1142,GBP,,100
1143,GBP,-50,
1144,GBP,-50,
1145,GBP,0,
1146,GBP,-14.98,
1147,GBP,,10
1148,GBP,-8.34,
1149,GBP,,100
1150,GBP,-100,
1151,GBP,-5.5,
1152,GBP,-2,
1153,GBP,,10
1154,GBP,-4,
1155,GBP,,10
1156,GBP,-10,
1157,GBP,-1,
1158,GBP,-6,
1159,GBP,,100
1160,GBP,-18.62,
1161,GBP,-6.85,
1162,GBP,-9.29,
1163,GBP,-16.25,
1164,GBP,-30,
1165,GBP,,20
1166,GBP,-20,
1167,GBP,,20
1168,GBP,,4.85
1169,GBP,-11.5,
1170,GBP,-4.58,
1171,GBP,-9,
1172,GBP,-14.01,
1173,GBP,,50
1174,GBP,-3.69,
1175,GBP,-1.6,
1176,GBP,-5.5,
1177,GBP,,120
1178,GBP,-120,
1179,GBP,,170
1180,GBP,-170,
1181,GBP,-3.69,
1182,GBP,,340
1183,GBP,-150,
1184,GBP,-150,
1185,GBP,,30
1186,GBP,-31,
1187,GBP,,100
1188,GBP,-35,
1189,GBP,-70,
1190,GBP,-7,
1191,GBP,-3.99,
1192,GBP,-12,
1193,GBP,-2.78,
1194,GBP,-1.55,
1195,GBP,-1.55,
1196,GBP,-7,
1197,GBP,,50
1198,GBP,-23,
1199,GBP,-0.8,
1200,GBP,-10,
1201,GBP,-10,
1202,GBP,-9.96,
1203,GBP,-31.99,
1204,GBP,,15
1205,GBP,-12,
1206,GBP,-4.65,
1207,GBP,,10
1208,GBP,,25
1209,GBP,-7.2,
1210,GBP,-17.68,
1211,GBP,0,
1212,GBP,0,
1213,GBP,,20
1214,GBP,-11.63,
1215,GBP,-3.98,
1216,GBP,-3.69,
1217,GBP,-2.29,
1218,GBP,-7.99,
1219,GBP,,80
1220,GBP,-80,
1221,GBP,-1.39,
1222,GBP,,10
1223,GBP,-2.48,
1224,GBP,-8,
1225,GBP,,10
1226,GBP,-4.99,
1227,GBP,,140
1228,GBP,-130,
1229,GBP,,35
1230,GBP,-35,
1231,GBP,-3.69,
1232,GBP,-13.05,
1233,GBP,,15
1234,GBP,-1.39,
1235,GBP,-1.99,
1236,GBP,,15
1237,GBP,0,
1238,GBP,-21.98,
1239,GBP,,33
1240,GBP,-33,
1241,GBP,-1.39,
1242,GBP,,50
1243,GBP,,20
1244,GBP,-60,
1245,GBP,,100
1246,GBP,-20.86,
1247,GBP,-6.5,
1248,GBP,-13.99,
1249,GBP,,30
1250,GBP,,17
1251,GBP,,100
1252,GBP,-100,
1253,GBP,-36.83,
1254,GBP,-41.46,
1255,GBP,-18.99,
1256,GBP,-9.99,
1257,GBP,,100
1258,GBP,-39.5,
1259,GBP,,30
1260,GBP,-5.23,
1261,GBP,-21.99,
1262,GBP,-2,
1263,GBP,-1,
1264,GBP,,33.8
1265,GBP,-33.8,
1266,GBP,-22.35,
1267,GBP,-1.95,
1268,GBP,-8,
1269,GBP,-5.9,
1270,GBP,-11,
1271,GBP,-10,
1272,GBP,-2.49,
1273,GBP,,348
1274,GBP,-170,
1275,GBP,-150,
1276,GBP,-21.1,
1277,GBP,-10,
1278,GBP,,10
1279,GBP,-12.59,
1280,GBP,,30
1281,GBP,-20,
1282,GBP,-13,
1283,GBP,,60
1284,GBP,0,
1285,GBP,-55.9,
1286,GBP,,10
1287,GBP,-6.98,
1288,GBP,,50
1289,GBP,0,
1290,GBP,-46.95,
1291,GBP,,15
1292,GBP,-15.3,
1293,GBP,-2.49,
1294,GBP,,15
1295,GBP,-8.99,
1296,GBP,,300
1297,GBP,,50
1298,GBP,-130,
1299,GBP,-5,
1300,GBP,-8.2,
1301,GBP,-70,
1302,GBP,-100,
1303,GBP,-30,
1304,GBP,-3.98,
1305,GBP,-1.49,
1306,GBP,,100
1307,GBP,,10
1308,GBP,-16.89,
1309,GBP,-4.19,
1310,GBP,-75,
1311,GBP,-25,
1312,GBP,,20
1313,GBP,-16.82,
1314,GBP,-3.83,
1315,GBP,,10
1316,GBP,-4.58,
1317,GBP,-3.83,
1318,GBP,,10
1319,GBP,-4.18,
1320,GBP,-1.5,
1321,GBP,-10.39,
1322,GBP,,40
1323,GBP,-10,
1324,GBP,-5.57,
1325,GBP,,10
1326,GBP,-30,
1327,GBP,,10
1328,GBP,-10,
1329,GBP,,25
1330,GBP,,170
1331,GBP,-170,
1332,GBP,-9.98,
1333,GBP,-12.81,
1334,GBP,-4.4,
1335,GBP,,30
1336,GBP,-4.85,
1337,GBP,-13.34,
1338,GBP,,370
1339,GBP,-150,
1340,GBP,-150,
1341,GBP,-50,
1342,GBP,-15,
1343,GBP,-9.5,
1344,GBP,,10
1345,GBP,-15.5,
1346,GBP,,9.5
1347,GBP,-0.5,
1348,GBP,-7.5,
1349,GBP,,40
1350,GBP,-30,
1351,GBP,,10
1352,GBP,-15,
1353,GBP,,15
1354,GBP,-5.5,
1355,GBP,-5.5,
1356,GBP,-7,
1357,GBP,,5.5
1358,GBP,-8.5,
1359,GBP,,7
1360,GBP,-1.65,
1361,GBP,,20
1362,GBP,-20,
1363,GBP,,30
1364,GBP,,10
1365,GBP,-16.14,
1366,GBP,-31.99,
1367,GBP,-3.5,
1368,GBP,,10
1369,GBP,-7.99,
1370,GBP,,25
1371,GBP,0,
1372,GBP,0,
1373,GBP,0,
1374,GBP,-22.65,
1375,GBP,-2.18,
1376,GBP,,40
1377,GBP,-32,
1378,GBP,,5
1379,GBP,,10
1380,GBP,0,
1381,GBP,0,
1382,GBP,0,
1383,GBP,-15.49,
1384,GBP,,15
1385,GBP,-6,
1386,GBP,-2.29,
1387,GBP,-9.05,
1388,GBP,-3.99,
1389,GBP,,5
1390,GBP,-1.99,
1391,GBP,-2.18,
1392,GBP,-1.99,
1393,GBP,,82
1394,GBP,-82,
1395,GBP,,10
1396,GBP,-5.16,
1397,GBP,-0.5,
1398,GBP,-4.38,
1399,GBP,,15
1400,GBP,-16.53,
1401,GBP,,7
1402,GBP,-3.69,
1403,GBP,,25
1404,GBP,-13.99,
1405,GBP,,3.2
1406,GBP,,250
1407,GBP,-180,
1408,GBP,-9.99,
1409,GBP,,50
1410,GBP,-50,
1411,GBP,-5.8,
1412,GBP,-4.45,
1413,GBP,0,
1414,GBP,-16,
1415,GBP,-2.9,
1416,GBP,-8.99,
1417,GBP,-3.69,
1418,GBP,-8.44,
1419,GBP,-1.49,
1420,GBP,-3.98,
1421,GBP,-5.59,
1422,GBP,,20
1423,GBP,0,
1424,GBP,-29.97,
1425,GBP,-2,
1426,GBP,-2.49,
1427,GBP,-0.51,
1428,GBP,,20
1429,GBP,-1.49,
1430,GBP,-0.51,
1431,GBP,-3,
1432,GBP,-2.29,
1433,GBP,-0.71,
1434,GBP,,370
1435,GBP,-150,
1436,GBP,-180,
1437,GBP,,10
1438,GBP,-10,
1439,GBP,-10,
1440,GBP,,10
1441,GBP,-10.5,
1442,GBP,-0.5,
1443,GBP,-5.58,
1444,GBP,-0.42,
1445,GBP,-1.65,
1446,GBP,-0.35,
1447,GBP,-8.54,
1448,GBP,-0.46,
1449,GBP,-20,
1450,GBP,-1.5,
1451,GBP,,50
1452,GBP,-23,
1453,GBP,-2.18,
1454,GBP,-0.82,
1455,GBP,-1.65,
1456,GBP,-8.98,
1457,GBP,-0.02,
1458,GBP,-0.35,
1459,GBP,-1.65,
1460,GBP,-8.99,
1461,GBP,-0.01,
1462,GBP,,50
1463,GBP,-10.58,
1464,GBP,-0.42,
1465,GBP,-1,
1466,GBP,,50
1467,GBP,-52,
1468,GBP,-17.04,
1469,GBP,-0.96,
1470,GBP,-12.12,
1471,GBP,-0.88,
1472,GBP,-2.08,
1473,GBP,-0.92,
1474,GBP,,10
