id,transaction_number,transaction_type,occurred_at_id
1001,tx_0000AEzyI3mRroavwx0ei9,Pot transfer,1001
1002,tx_0000AEzyulgP5RzYVy0epd,Card payment,1002
1003,tx_0000AF1hrYSSUTjCdSA7Bh,Pot transfer,1003
1004,tx_0000AF1hsPKptXp1gc0sgT,Card payment,1004
1005,tx_0000AF2Aw4np4cdUiOmgaY,Pot transfer,1005
1006,tx_0000AF2Ay8xqZUi4CYSUz3,Faster payment,1006
1007,tx_0000AF3Swf4EEdz7poK2VN,Pot transfer,1007
1008,tx_0000AF3THoY0BQDQ5KpPZS,Card payment,1008
1009,tx_0000AF3c1oWTPEmSrimwlN,Card payment,1009
1010,tx_0000AF3cODJ1wZ7AZdO1uU,Card payment,1010
1011,tx_0000AF42gbnyC2drGIi5Uf,Card payment,1011
1012,tx_0000AF5IH1IyYRbp9gpF2Y,Faster payment,1012
1013,tx_0000AF5INLPwgq6VGp6LKL,Pot transfer,1013
1014,tx_0000AF5IO5buwenfYnCUt7,Pot transfer,1014
1015,tx_0000AF5INtiZA7zljxF58b,Pot transfer,1015
1016,tx_0000AF5IOoK4hqG4H7Hs5h,Pot transfer,1016
1017,tx_0000AF5LaP2cpNV6LDqH4r,Card payment,1017
1018,tx_0000AF5Ih85pwIA1kTLw5x,Card payment,1018
1019,tx_0000AF5Y5Kko17Y8GG4Jeb,Card payment,1019
1020,tx_0000AF5h3Ipb5raJF4BOBl,Card payment,1020
1021,tx_0000AF6BJ7xeH1iu7LgfY1,Card payment,1021
1022,tx_0000AF6GQHpOUFVIScyCif,Card payment,1022
1023,tx_0000AF6s5kYIIBp5WIZaVd,Pot transfer,1023
1024,tx_0000AF7bPviSzS9GEtgdQv,Card payment,1024
1025,tx_0000AF879yZtmMuxeuNCoj,Card payment,1025
1026,tx_0000AF87MDVC7L8hQ70fMP,Card payment,1026
1027,tx_0000AF8Pi9joakO4UCsNQB,Card payment,1027
1028,tx_0000AF8iZv2vEJtvcL2JAB,Pot transfer,1028
1029,tx_0000AF8imcoeJwWOkkwsef,Card payment,1029
1030,tx_0000AF8kCuF8FWqQNHtxwH,Card payment,1030
1031,tx_0000AF8l0YLbvkv3DsUgwz,Faster payment,1031
1032,tx_0000AF8lJcQQzexVD7W2Wf,Card payment,1032
1033,tx_0000AF9TKramU7hXLULExd,Faster payment,1033
1034,tx_0000AF9TMx5l0a82yupIeX,Pot transfer,1034
